Gene	signal_to_noise_ratio
215963_x_at	-0.2886034910700978
FTL	-0.2884335904301781
MAN2B2	-0.2882031898780875
TGFBR1	-0.288179770745118
FLJ12525	-0.2881685091448232
209200_at	-0.28776018936958364
213814_s_at	-0.28759586351694716
GPR44	-0.28747353160596123
BBP	-0.28747018765001453
213237_at	-0.28740118233221873
H2AFY2	-0.28733873794477116
MDS009	-0.28732645138940466
216525_x_at	-0.2873196078532609
216524_x_at	-0.28722562224307224
FLJ21901	-0.2871985951225935
RPS27A	-0.28658654738476624
TMEM15	-0.286383159309307
MAGEA3	-0.28628947755047907
STK38	-0.2861958449735609
MAB21L2	-0.2861401224374799
BUCS1	-0.2859804653884123
ANK1	-0.28590727152301937
TCEA1	-0.2857507732240667
215014_at	-0.28571949058710355
RAGE	-0.28562853250863013
PPIC	-0.28556038742720585
WDR23	-0.2854869597920032
DDT	-0.2854127125738219
MRPS35	-0.2853998271114237
MGC5297	-0.2853733211182444
C2orf3	-0.28533816199439166
ITGBL1	-0.28519780151491225
C20orf42	-0.2851447728658195
UFD1L	-0.28505977838076096
CBX4	-0.28488051480350435
FLJ10803	-0.28483232892965105
216065_at	-0.2847890602947092
RGS20	-0.28467903060961525
ARHGEF7	-0.2845511525212
DKFZP434F122	-0.28451140985337625
MCM3APAS	-0.28419693989820566
NTHL1	-0.28415686053751527
C10orf7	-0.2841540281966735
KIAA0907	-0.2839596767405501
KLF15	-0.28395297302142697
TLR7	-0.28368039363242176
VEGF	-0.28366506537127906
